"Timestamp","Gender","Age( in years)","District","What is the highest level of education completed by you?","Occupation","Average monthly income (in Sri Lankan Rupees)","How did you get to know about the Banking Mobile App?","How long have you used the Banking Mobile App?","How often do you make a transaction?","What type of transactions do you currently make using the banking mobile app?","Which factor motivated you to use the banking mobile app?","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I think using banking mobile app is comfortable.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I am happy with the user interface of the  banking mobile app.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I think using the  banking mobile app is secure.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I am satisfied with the level of data and information security level offered by the bank.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [When considering the overall service, I am satisfied with using the banking mobile app.]","Would you recommend using Banking Mobile App for you friend?"
"2020/11/22 10:13:28 AM GMT+5:30","Female","31 to 40","Kegalle","Graduate","Private Sector Employee","Above 150000","Bank directly","Between 3 to 5 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Reduced time of transaction;Safe service","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Yes"
"2020/11/22 10:47:13 AM GMT+5:30","Male","19 to 30","Gampaha","Graduate","Private Sector Employee","Between 30001 to 60000","By a commercial advertisement.","Less than 1 year","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Reduced time of transaction","Strongly disagree","Somewhat disagree","Neither agree Nor disagree","Somewhat disagree","Somewhat disagree","Yes"
"2020/11/22 11:43:46 AM GMT+5:30","Male","31 to 40","Puttalam","Graduate","Private Sector Employee","Above 150000","By a commercial advertisement.","More than 5 years","Daily –Several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes"
"2020/11/22 11:44:21 AM GMT+5:30","Male","19 to 30","Kaluthara","Graduate","Private Sector Employee","Above 150000","Bank directly","Between 1 to 3 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/22 12:03:58 PM GMT+5:30","Female","31 to 40","Puttalam","Post Graduate","Government Employee","Between 60001 to 90000","Bank directly","More than 5 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Opening Fixed Deposits","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes"
"2020/11/22 12:15:54 PM GMT+5:30","Female","31 to 40","Puttalam","Graduate","Private Sector Employee","Between 90001 to 120000","By a commercial advertisement.","Between 1 to 3 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Opening Fixed Deposits","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes"
"2020/11/22 12:54:52 PM GMT+5:30","Male","19 to 30","Batticclo","Graduate","Private Sector Employee","Between 90001 to 120000","Bank directly","More than 5 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment","Ease of use;Cost effectiveness;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/22 2:06:46 PM GMT+5:30","Female","19 to 30","Colombo","Graduate","Private Sector Employee","Above 150000","Friends or Family","Between 3 to 5 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes"
"2020/11/22 2:49:29 PM GMT+5:30","Female","19 to 30","Colombo","Post Graduate","Private Sector Employee","Above 150000","Bank directly","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Purchasing","Ease of use","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/22 5:11:53 PM GMT+5:30","Female","31 to 40","Gampaha","Graduate","Government Employee","Between 60001 to 90000","Friends or Family","Less than 1 year","Occasionally (less than once a month)","Money transfer;Bill payment","Ease of use;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Yes"
"2020/11/22 5:18:02 PM GMT+5:30","Female","19 to 30","badulla","Graduate","Government Employee","Between 30001 to 60000","By a commercial advertisement.","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement","Ease of use;Reduced time of transaction;Safe service;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
